1,2,3
"大活络丹（《兰台规范》)白花蛇乌梢蛇威灵仙两头尖草乌天麻全蝎黑豆水浸首乌龟板麻黄贯众[MASK]甘草羌活官桂藿香乌药黄连熟地黄大黄木香沉香细辛没药乳香赤芍丁香僵蚕姜制南星青皮骨碎补白豆蔻仁安息香附子黄芩茯苓香附玄参白术防风葛根虎胫骨当归血竭地龙犀角麝香松脂牛黄冰片人参
","大活络丹（《兰台规范》) 白花蛇 乌梢蛇 威灵仙 两头尖 草乌 天麻 全蝎 黑豆水浸首乌 龟板 麻黄 贯众 炙甘草 羌活 官桂 藿香 乌药 黄连 熟地黄 大黄 木香 沉香 细辛 没药 乳香 赤芍 丁香 僵蚕 姜制南星 青皮 骨碎补 白豆蔻仁 安息香 附子 黄芩 茯苓 香附 玄参 白术 防风 葛根 虎胫骨 当归 血竭 地龙 犀角 麝香 松脂 牛黄 冰片 人参
",['炙']
"大秦艽汤(《素问[MASK]气宜保命集》)秦艽当归甘草羌活防风白芷熟地黄茯苓石膏川芎白芍药独活黄芩生地黄白术细辛
","大秦艽汤(《素问病机气宜保命集》) 秦艽 当归 甘草 羌活 防风 白芷 熟地黄 茯苓 石膏 川芎 白芍药 独活 黄芩 生地黄 白术 细辛
",['病机']
"大营煎(《景岳全书》)当归熟地枸杞[MASK]甘草杜仲牛膝肉桂
","大营煎(《景岳全书》) 当归 熟地 枸杞 炙甘草 杜仲 牛膝 肉桂
",['炙']
"大温中[MASK](《景岳全书》)熟地冬白术当归人参[MASK]甘草柴胡麻黄肉桂
","大温中饮(《景岳全书》) 熟地 冬白术 当归 人参 炙甘草 柴胡 麻黄 肉桂
","['饮', '炙']"
"小儿智力糖浆（《卫生部药品标准·[MASK]成方制剂》)龟板龙骨菖蒲雄鸡
","小儿智力糖浆（《卫生部药品标准·中药成方制剂》) 龟板 龙骨 菖蒲 雄鸡
",['中药']
"小营煎(《景岳全书》)当归熟地芍药山药枸杞[MASK]甘草
","小营煎(《景岳全书》) 当归 熟地 芍药 山药 枸杞 炙甘草
",['炙']
"小蓟饮子(《济生方》)生地黄小蓟滑石通草[MASK]蒲黄淡竹叶藕节当归山栀甘草
","小蓟饮子(《济生方》) 生地黄 小蓟 滑石 通草 炒蒲黄 淡竹叶 藕节 当归 山栀 甘草
",['炒']
"门冬清肺[MASK](《内外伤辨》)紫菀黄耆白芍药甘草人参麦门冬当归身五味子
","门冬清肺饮(《内外伤辨》) 紫菀 黄耆 白芍药 甘草 人参 麦门冬 当归身 五味子
",['饮']
"不换金[MASK]散(《太平惠民和剂局方》)藿香苍术厚朴陈皮半夏甘草
","不换金正气散(《太平惠民和剂局方》) 藿香 苍术 厚朴 陈皮 半夏 甘草
",['正气']
"中满分消丸(《兰室秘藏》)厚扑枳实黄连黄芩知母半夏陈皮茯苓猪苓泽泻砂仁干姜姜黄人参白术[MASK]甘草
","中满分消丸(《兰室秘藏》) 厚扑 枳实 黄连 黄芩 知母 半夏 陈皮 茯苓 猪苓 泽泻 砂仁 干姜 姜黄 人参 白术 炙甘草
",['炙']
"丹栀逍遥散(《医统》)当归白芍药白术柴胡茯芩甘草[MASK]姜薄荷丹皮栀子
","丹栀逍遥散 (《医统》) 当归 白芍药 白术 柴胡 茯芩 甘草 煨姜 薄荷 丹皮 栀子
",['煨']
"乌药顺气散(《太平惠民和剂局方》)乌药麻黄陈皮[MASK]僵蚕川芎枳壳[MASK]甘草白芷桔梗炮姜大枣
","乌药顺气散(《太平惠民和剂局方》) 乌药 麻黄 陈皮 炒僵蚕 川芎 枳壳 炒甘草 白芷 桔梗 炮姜 大枣
","['炒', '炒']"
"五汁安中[MASK]([MASK])韭汁牛乳生姜汁梨汁藕汁
","五汁安中饮(验方) 韭汁 牛乳 生姜汁 梨汁 藕汁
","['饮', '验方']"
"五皮[MASK](《中藏经》)桑白皮橘皮生姜皮大腹皮茯苓皮
","五皮饮(《中藏经》) 桑白皮 橘皮 生姜皮 大腹皮 茯苓皮
",['饮']
"[MASK]消毒[MASK](《医宗金鉴》)金银花野菊花蒲公英紫花地丁紫背天葵子
","五味消毒饮(《医宗金鉴》) 金银花 野菊花 蒲公英 紫花地丁 紫背天葵子
","['五味', '饮']"
"五海瘿瘤丸(《临床实用[MASK]手册》)海带海藻海螵蛸海蛤粉[MASK]海螺木香川芎白芷夏枯草昆布
","五海瘿瘤丸(《临床实用中成药手册》) 海带 海藻 海螵蛸 海蛤粉 煅海螺 木香 川芎 白芷 夏枯草 昆布 
","['中成药', '煅']"
"五福[MASK](《景岳全书》)党参白术甘草当归地黄
","五福饮(《景岳全书》) 党参 白术 甘草 当归 地黄
",['饮']
"[MASK]定中丸(《中华人民共和国药典》)藿香赤茯苓紫苏叶厚朴枳壳甘草香薷桔梗麦芽谷芽白扁豆木瓜木香橘皮神曲檀香山楂
","六合定中丸(《中华人民共和国药典》) 藿香 赤茯苓 紫苏叶 厚朴 枳壳 甘草 香薷 桔梗 麦芽 谷芽 白扁豆 木瓜 木香 橘皮 神曲 檀香 山楂
",['六合']
"六君子汤(《医学正传》)人参[MASK]甘草茯苓白术陈皮制半夏
","六君子汤(《医学正传》) 人参 炙甘草 茯苓 白术 陈皮 制半夏
",['炙']
"[MASK]汤（《医学正传》)香附川芎苍术陈皮半夏茯苓砂仁栀子甘草
","六郁汤（《医学正传》) 香附 川芎 苍术 陈皮 半夏 茯苓 砂仁 栀子 甘草
",['六郁']
"六味[MASK][MASK]（《景岳全书》)人参熟地黄当归制附子炮姜[MASK]甘草
","六味回阳饮（《景岳全书》)人参 熟地黄 当归 制附子 炮姜 炙甘草
","['回阳', '饮', '炙']"
"六味阿胶[MASK](《类证治裁》)熟地黄淮山药山茱萸茯苓泽泻丹皮阿胶童便
","六味阿胶饮(《类证治裁》) 熟地黄 淮山药 山茱萸 茯苓 泽泻 丹皮 阿胶 童便
",['饮']
"内消[MASK]丸(《疡医大全》)夏枯草玄参青盐海藻贝母薄荷天花粉海蛤粉白蔹连翘熟大黄生甘草生地桔梗枳壳当归硝石
","内消瘰疬丸(《疡医大全》) 夏枯草 玄参 青盐 海藻 贝母 薄荷 天花粉 海蛤粉 白蔹 连翘 熟大黄 生甘草 生地 桔梗 枳壳 当归 硝石
",['瘰疬']
"分气紫苏[MASK](《良方大全》)苏叶桂枝桑白皮草果仁大腹皮白茯苓陈皮[MASK]甘草
","分气紫苏饮(《良方大全》) 苏叶 桂枝 桑白皮 草果仁 大腹皮 白茯苓 陈皮 炙甘草
","['饮', '炙']"
"化肝煎(《景岳全书》)青皮陈皮芍药牡丹皮泽泻贝母[MASK]栀子
","化肝煎(《景岳全书》) 青皮 陈皮 芍药 牡丹皮 泽泻 贝母 炒栀子
",['炒']
"化铁金丹(《万病回春》)黄芪人参白术当归川芎陈皮青皮（去瓤）香附乌药槟榔枳壳（麸[MASK]）枳实（麸[MASK]）木香沉香苍术（米泔水浸）山楂肉神曲（[MASK]）草果麦芽草豆蔻萝卜子苏子白芥子三棱莪术厚朴（姜汁[MASK]）小茴香白矾牙皂黄连赤芍柴胡龙胆草甘草各大黄牵牛乳香没药阿魏硇砂（用瓷罐[MASK]过）皮硝
","化铁金丹(《万病回春》) 黄芪 人参 白术 当归 川芎 陈皮 青皮（去瓤） 香附 乌药 槟榔 枳壳（麸炒） 枳实（麸炒） 木香 沉香 苍术（米泔水浸） 山楂肉 神曲（炒） 草果 麦芽 草豆蔻 萝卜子 苏子 白芥子 三棱 莪术 厚朴（姜汁炒） 小茴香 白矾 牙皂 黄连 赤芍 柴胡 龙胆草 甘草各 大黄 牵牛 乳香 没药 阿魏 硇砂（用瓷罐煨过） 皮硝
","['炒', '炒', '炒', '炒', '煨']"
"化瘀汤(《[MASK]》)白术赤勺当归丹参桃仁红花青皮丹皮牡蛎泽泻炮山甲
","化瘀汤(《验方》) 白术 赤勺 当归 丹参 桃仁 红花 青皮 丹皮 牡蛎 泽泻 炮山甲
",['验方']
"升阳益胃汤(《脾胃论》)黄芪半夏人参[MASK]甘草白芍药防风羌活独活橘皮茯苓泽泻柴胡白术黄连
","升阳益胃汤(《脾胃论》) 黄芪 半夏 人参 炙甘草 白芍药 防风 羌活 独活 橘皮 茯苓 泽泻 柴胡 白术 黄连
",['炙']
"升阳散火汤(《脾胃论》)生甘草[MASK]甘草防风羌活独活升麻葛根柴胡人参白芍
","升阳散火汤(《脾胃论》) 生甘草 炙甘草 防风 羌活 独活 升麻 葛根 柴胡 人参 白芍
",['炙']
"双料喉风散(《[MASK]》)人工牛黄珍珠黄连甘草梅片山豆根青黛
","双料喉风散 (《验方》) 人工牛黄 珍珠 黄连 甘草 梅片 山豆根 青黛
",['验方']
"天麻钩藤[MASK]
","天麻钩藤饮
",['饮']
"天麻钩藤[MASK](《杂病诊治新义》)天麻钩藤生石决明川牛膝桑寄生杜仲山栀黄芩益母草朱茯神夜交藤
","天麻钩藤饮(《杂病诊治新义》) 天麻 钩藤 生石决明 川牛膝 桑寄生 杜仲 山栀 黄芩 益母草 朱茯神 夜交藤
",['饮']
"太极通天[MASK](《中国药物大全》)川芎羌活白芷细辛
","太极通天液(《中国药物大全》) 川芎 羌活 白芷 细辛 
",['液']
"月华丸（《医学心悟》)沙参麦冬天冬生地熟地阿胶山药茯苓桑叶菊花獭[MASK]百部三七川贝母
","月华丸（《医学心悟》)沙参 麦冬 天冬 生地 熟地 阿胶 山药 茯苓 桑叶 菊花 獭肝 百部 三七 川贝母
",['肝']
"木香调气散(《太平惠民和剂局方》)木香白檀香白豆蔻丁香[MASK]甘草藿香砂仁
","木香调气散(《太平惠民和剂局方》) 木香 白檀香 白豆蔻 丁香 炙甘草 藿香 砂仁
",['炙']
"止痉散（《[MASK]》)全蝎蜈蚣
","止痉散（《方剂学》) 全蝎 蜈蚣
",['方剂学']
"止麻消痰[MASK]（《杂病源流犀烛》)半夏茯苓枳壳陈皮天麻细辛瓜蒌仁黄芩黄连桔梗甘草
","止麻消痰饮（《杂病源流犀烛》) 半夏 茯苓 枳壳 陈皮 天麻 细辛 瓜蒌仁 黄芩 黄连 桔梗 甘草
",['饮']
"止麻清[MASK]（《赤水玄珠》)黄芩黄连贝母瓜蒌茯苓桔梗枳壳橘红南星白矾皂角天麻甘草细辛姜汁竹沥
","止麻清痰饮（《赤水玄珠》) 黄芩 黄连 贝母 瓜蒌 茯苓 桔梗 枳壳 橘红 南星 白矾 皂角 天麻甘草 细辛 姜汁 竹沥
",['痰饮']
"止痫散（《卫生部药品标准·[MASK]成方制剂》)紫石英代赭石钩藤龙骨牡蛎寒水石滑石大黄干姜石膏甘草
","止痫散（《卫生部药品标准·中药成方制剂》) 紫石英 代赭石 钩藤 龙骨 牡蛎 寒水石 滑石 大黄 干姜 石膏 甘草
",['中药']
"止嗽扫[MASK]丸(《中国基本[MASK]》)麻黄法半夏款冬花陈皮枳壳白果瓜蒌仁桑白皮紫苏子川贝母百合甘草
","止嗽扫痰丸(《中国基本中成药》) 麻黄 法半夏 款冬花 陈皮 枳壳 白果 瓜蒌仁 桑白皮 紫苏子 川贝母 百合 甘草
","['痰', '中成药']"
"片仔癀(《[MASK]选用指南》1991年)麝香牛黄田七蛇胆
","片仔癀(《中成药选用指南》1991年) 麝香 牛黄 田七 蛇胆
",['中成药']
"牛黄上清丸(《全国[MASK]成药处方集》)（天津方）牛黄大黄黄连黄芩生石膏栀子连翘冰片赤芍当归薄荷菊花川芎荆芥白芷桔梗黄柏朱砂莲子心明雄黄甘草
","牛黄上清丸(《全国中药成药处方集》)（天津方） 牛黄 大黄 黄连 黄芩 生石膏 栀子 连翘 冰片 赤芍 当归 薄荷 菊花 川芎 荆芥 白芷 桔梗 黄柏 朱砂 莲子心 明雄黄 甘草
",['中药']
"牛黄宁宫片（《[MASK]》)牛黄珍珠冰片雄黄黄连等
","牛黄宁宫片（《验方》) 牛黄 珍珠 冰片 雄黄 黄连等
",['验方']
"贝羚散(《[MASK]》)川贝母羚羊角猪胆汁麝香沉香人工竹黄（飞）青礞石（煅飞）硼砂（[MASK]）
","贝羚散(《验方》) 川贝母 羚羊角 猪胆汁 麝香 沉香 人工竹黄（飞） 青礞石（煅飞） 硼砂（煅）
","['验方', '煅']"
"风湿马钱片（《现代[MASK]》)马钱子全蝎僵蚕牛膝乳香没药麻黄苍术甘草
","风湿马钱片（《现代中成药》) 马钱子 全蝎 僵蚕 牛膝 乳香 没药 麻黄 苍术 甘草 
",['中成药']
"加味三仙[MASK](《慈禧光绪医方选论》)焦三仙枳壳陈皮黄连生地甘菊芦根竹叶
","加味三仙饮(《慈禧光绪医方选论》) 焦三仙 枳壳 陈皮 黄连 生地 甘菊 芦根 竹叶
",['饮']
"加味不换金[MASK]散(《[MASK]》)厚朴苍术陈皮甘草藿香佩兰草果半夏槟榔菖蒲荷叶
","加味不换金正气散(《验方》) 厚朴 苍术 陈皮 甘草 藿香 佩兰 草果 半夏 槟榔 菖蒲 荷叶
","['正气', '验方']"
"加味羌活[MASK](《三因极一病证方论.[MASK]证治》)羌活前胡人参桔梗甘草枳壳川芎天麻茯苓蝉蜕薄荷
","加味羌活饮(《三因极一病证方论.瘾疹证治》) 羌活 前胡 人参 桔梗 甘草 枳壳 川芎 天麻 茯苓 蝉蜕 薄荷
","['饮', '瘾疹']"
"加减复脉汤(《温病条辨》)[MASK]甘草干地黄白芍麦冬阿胶麻仁
","加减复脉汤(《温病条辨》) 炙甘草 干地黄 白芍 麦冬 阿胶 麻仁
",['炙']
"加减葳蕤汤(《通俗伤寒论》)葳蕤葱白桔梗白薇豆豉薄荷[MASK]甘草大枣
","加减葳蕤汤(《通俗伤寒论》) 葳蕤 葱白 桔梗 白薇 豆豉 薄荷 炙甘草 大枣
",['炙']
"半夏片(《中国基本[MASK]》)法半夏前胡远志细辛麻黄桔梗陈皮白前款冬花
","半夏片(《中国基本中成药》) 法半夏 前胡 远志 细辛 麻黄 桔梗 陈皮 白前 款冬花
",['中成药']
"半夏天白术麻丸(《脾胃论》)法半夏天麻黄芪（蜜[MASK]）人参苍术（米泔[MASK]）白术（麸[MASK]）茯苓陈皮泽泻六神曲（麸[MASK]）麦芽（[MASK]）黄柏
","半夏天白术麻丸(《脾胃论》) 法半夏 天麻 黄芪（蜜炙） 人参 苍术（米泔炙） 白术（麸炒） 茯苓 陈皮 泽泻 六神曲（麸炒） 麦芽（炒） 黄柏
","['炙', '炙', '炒', '炒', '炒']"
"半夏白术天麻汤(《医学心悟》)》)法半夏天麻白术茯苓陈皮蔓荊子[MASK]甘草生姜
","半夏白术天麻汤(《医学心悟》)》) 法半夏 天麻 白术 茯苓 陈皮 蔓荊子 炙甘草 生姜
",['炙']
"[MASK]救绝神丹(《蒲辅周医疗经验》)当归白芍槟榔广木香莱菔子枳壳甘草薤白滑石
","古方救绝神丹(《蒲辅周医疗经验》) 当归 白芍 槟榔 广木香 莱菔子 枳壳 甘草 薤白 滑石
",['古方']
"右归[MASK](《景岳全书》)熟地山药山萸肉桂仲枸杞子[MASK]甘草附子肉桂
","右归饮(《景岳全书》) 熟地 山药 山萸肉 桂仲 枸杞子 炙甘草 附子 肉桂
","['饮', '炙']"
"四君子汤(《太平惠民和剂局方》)人参白术茯苓[MASK]甘草
","四君子汤(《太平惠民和剂局方》) 人参 白术 茯苓 炙甘草
",['炙']
"四妙勇安汤(《[MASK]新编》)金银花玄参当归甘草
","四妙勇安汤(《验方新编》) 金银花 玄参 当归 甘草
",['验方']
"四味[MASK][MASK]（《景岳全书》)人参干姜[MASK]甘草附子
","四味回阳饮（《景岳全书》) 人参 干姜 炙甘草 附子
","['回阳', '饮', '炙']"
"四物汤(《仙授理伤续断[MASK]》)熟地黄当归白芍药川芎
","四物汤(《仙授理伤续断秘方》) 熟地黄 当归 白芍药 川芎
",['秘方']
"[MASK]舒郁丸(《疡医大全》)海蛤粉海带海藻海螵蛸昆布陈皮青木香
","四海舒郁丸(《疡医大全》) 海蛤粉 海带 海藻 海螵蛸 昆布 陈皮 青木香
",['四海']
"宁嗽太平丸(《黑龙江省药品标准》)川贝母阿胶五味子当归白芍（酒[MASK]）天冬桑白皮麦冬茯苓前胡紫菀桔梗百合款冬花
","宁嗽太平丸(《黑龙江省药品标准》) 川贝母 阿胶 五味子 当归 白芍（酒炒） 天冬 桑白皮 麦冬 茯苓 前胡 紫菀 桔梗 百合 款冬花
",['炒']
"左归[MASK]（《景岳全书》)熟地山萸肉杞子山药茯苓甘草
","左归饮（《景岳全书》) 熟地 山萸肉 杞子 山药 茯苓 甘草
",['饮']
"平陈汤（[MASK]）苍术橘皮厚朴甘草生姜大枣半夏茯苓
","平陈汤（验方） 苍术 橘皮 厚朴 甘草 生姜 大枣 半夏 茯苓
",['验方']
"平胃丸(《太平惠民和剂局方》)苍术厚朴陈皮[MASK]甘草生姜大枣
","平胃丸(《太平惠民和剂局方》) 苍术 厚朴 陈皮 炙甘草 生姜 大枣
",['炙']
"平喘固本汤(《南京中医学院附院[MASK]》)党参五味子冬虫夏草胡桃肉沉香灵磁石坎脐苏子款冬花法半夏橘红
","平喘固本汤(《南京中医学院附院验方》) 党参 五味子 冬虫夏草 胡桃肉 沉香 灵磁石 坎脐 苏子 款冬花 法半夏 橘红
",['验方']
"归芍地黄丸（《北京市药品[MASK]方选集》)当归白芍熟地山茱萸丹皮山药茯苓泽泻
","归芍地黄丸（《北京市药品中成药方选集》) 当归 白芍 熟地 山茱萸 丹皮 山药 茯苓 泽泻
",['中成药']
"归脾丸(《中华人民共和国药典》1995年版)党参黄芪（蜜[MASK]）白术（[MASK]）甘草（蜜[MASK]）茯苓远志酸枣仁（[MASK]）龙眼肉当归木香大枣（去核）
","归脾丸(《中华人民共和国药典》1995年版) 党参 黄芪（蜜炙） 白术（炒） 甘草（蜜炙） 茯苓 远志 酸枣仁（炒） 龙眼肉 当归 木香 大枣（去核）
","['炙', '炒', '炙', '炒']"
"归脾汤(《济生方》)党参黄芪白术茯神[MASK]酸枣仁桂圆肉木香甘草当归远志生姜大枣
","归脾汤(《济生方》) 党参 黄芪 白术 茯神 炒酸枣仁 桂圆肉 木香 甘草 当归 远志 生姜 大枣
",['炒']
"归脾汤(《济生方》)党参黄芪白术茯神酸枣仁龙眼木香[MASK]甘草当归远志生姜大枣
","归脾汤(《济生方》) 党参 黄芪 白术 茯神 酸枣仁 龙眼 木香 炙甘草 当归 远志 生姜 大枣
",['炙']
"[MASK]天香散（《证治准绳》)引刘河间方）干姜紫苏乌药香附陈皮
","正气天香散（《证治准绳》)引刘河间方） 干姜 紫苏 乌药 香附 陈皮
",['正气']
"正清风痛灵（《现代[MASK]》)青藤碱等
","正清风痛灵（《现代中成药》) 青藤碱等
",['中成药']
"甘遂半夏汤（《金匮要略》)甘遂半夏芍药[MASK]甘草蜜
","甘遂半夏汤（《金匮要略》)甘遂 半夏 芍药 炙甘草 蜜
",['炙']
"甘露[MASK]（《阎氏小儿方论》)熟地黄生地黄麦冬天冬枳壳甘草茵陈枇杷叶石斛黄芩
","甘露饮（《阎氏小儿方论》) 熟地黄 生地黄 麦冬 天冬 枳壳 甘草 茵陈 枇杷叶 石斛 黄芩
",['饮']
"生姜泻心汤（《伤寒论》)半夏黄芩干姜生姜人参[MASK]甘草黄连大枣
","生姜泻心汤（《伤寒论》) 半夏 黄芩 干姜 生姜 人参 炙甘草 黄连 大枣
",['炙']
"生脉[MASK](《千金方》)人参麦冬五味子
","生脉饮(《千金方》) 人参 麦冬 五味子
",['饮']
"生脉散（《内外伤辨惑论》)人参麦冬五味子生脉注射液(《[MASK]临床应用》)人参麦冬五味子
","生脉散（《内外伤辨惑论》) 人参 麦冬 五味子生脉注射液(《中成药临床应用》) 人参 麦冬 五味子
",['中成药']
"生慧汤(《[MASK]录》)熟地山茱萸远志枣仁柏子仁茯神人参石菖蒲白芥子
","生慧汤(《辨证录》) 熟地 山茱萸 远志 枣仁 柏子仁 茯神 人参 石菖蒲 白芥子
",['辨证']
"白芨枇杷丸（《证治要诀》)白芨哈粉[MASK]阿胶生地藕节枇杷叶
","白芨枇杷丸（《证治要诀》) 白芨 哈粉炒阿胶 生地 藕节 枇杷叶
",['炒']
"伐[MASK]补脾汤(《赤水玄珠》)黄连芍药柴胡青皮白术人参茯苓甘草
","伐肝补脾汤(《赤水玄珠》) 黄连 芍药 柴胡 青皮 白术 人参 茯苓 甘草
",['肝']
"[MASK]急救汤(《伤寒六书》)附子干姜肉桂人参白术茯苓陈皮甘草五味子
","回阳急救汤(《伤寒六书》) 附子 干姜 肉桂 人参 白术 茯苓 陈皮 甘草 五味子 
",['回阳']
"多皮[MASK](《赵炳南临床经验集》)五加皮生姜皮陈皮桑白皮白藓皮丹皮冬瓜皮茯苓皮大腹皮扁豆皮浮萍当归
","多皮饮(《赵炳南临床经验集》) 五加皮 生姜皮 陈皮 桑白皮 白藓皮 丹皮 冬瓜皮 茯苓皮 大腹皮 扁豆皮 浮萍 当归
",['饮']
"安神丸(《临床实用[MASK]手册》)人参半夏[MASK]酸枣仁茯神当归橘红赤芍五味子[MASK]甘草
","安神丸(《临床实用中成药手册》) 人参 半夏 炒酸枣仁 茯神 当归 橘红 赤芍 五味子 炙甘草
","['中成药', '炒', '炙']"
"安神补脑液（《卫生部药品标准．[MASK]成方制剂》)鹿茸淫羊藿何首乌干姜大枣甘草
","安神补脑液（《卫生部药品标准．中药成方制剂》) 鹿茸 淫羊藿 何首乌 干姜 大枣 甘草
",['中药']
"安脑丸（《全国中医院急诊科必备[MASK]品种》)牛黄水牛角浓缩粉珍珠黄连郁金冰片石膏
","安脑丸（《全国中医院急诊科必备中成药品种》) 牛黄 水牛角浓缩粉 珍珠 黄连 郁金 冰片 石膏
",['中成药']
"延年茯芩[MASK](《外台秘要》)人参白术茯苓生姜枳实橘皮
","延年茯芩饮(《外台秘要》) 人参 白术 茯苓 生姜 枳实 橘皮
",['饮']
